Species,Crop,      Plant genotype,meanPD,SE,min,max,Number of entries
Malus domestica,Apple,cv. “Bramley”,0.58,0.13,0.41,0.96,4
Malus domestica,Apple,cv. “Cox”,0.46,0.06,0.15,1.00,11
Malus domestica,Apple,cv. “Elstar”,0.65,0.12,0.15,1.00,8
Malus domestica,Apple,cv. “Fuji”,0.51,NA,0.51,0.51,1
Malus domestica,Apple,cv. “Gala”,0.56,0.03,0.23,1.00,39
Malus domestica,Apple,cv. “Gilly”,0.86,0.04,0.82,0.90,2
Malus domestica,Apple,cv. “Golden”,0.89,0.03,0.34,1.00,26
Malus domestica,Apple,cv. “Hastings”,0.85,0.04,0.76,0.97,4
Malus domestica,Apple,cv. “Idared”,0.56,0.16,0.40,0.71,2
Malus domestica,Apple,cv. “Ingrid-Marie”,0.89,0.11,0.78,1.00,2
Malus domestica,Apple,cv. “Jogold”,0.72,0.10,0.60,0.91,3
Malus domestica,Apple,cv. “Kandil”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Kirgizski zimni”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Iivka”,0.40,NA,0.40,0.40,1
Malus domestica,Apple,cv. “Montuan”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Pink Lady”,0.99,0.01,0.97,1.00,5
Malus domestica,Apple,cv. “Renet zolotoi”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Rubinola”,0.84,NA,0.84,0.84,1
Malus domestica,Apple,cv. “Starkrimson”,1.00,NA,1.00,1.00,1
Malus domestica,Apple,cv. “Topaz”,0.97,0.03,0.94,1.00,2
Mangifera indica,Mango,cv. “Chok An”,0.88,NA,0.88,0.88,1
Mangifera indica,Mango,cv. “Sala”,0.53,NA,0.53,0.53,1
Manilkara achras,Sapodilla,cv. “Jantung”,0.90,NA,0.90,0.90,1
Momordica charantia,Bitter melon,var. neelam 105,1.00,0.00,1.00,1.00,4
Momordica charantia,Bitter melon,var. raja,1.00,NA,1.00,1.00,1
Nephelium lappaceum,Rambutan,var. “CERI61”,0.54,0.02,0.52,0.56,2
Opuntia ficus-indica,Cactus pear,cv. “Gialla”,0.41,0.07,0.17,0.57,5
Paeonia ostii,Peony,cv. “Feng Dan”,0.52,NA,0.52,0.52,1
Persea americana,Avocado,cv. “West Indian”,0.86,NA,0.86,0.86,1
Phaseolus coccineus,Runner bean,cv. “Achievement”,0.67,0.12,0.56,0.79,2
